,user_name,user_id,Chineselabel,Japaneselabel,Koreanlabel,Thailabel,Vietnameselabel
0,Ryan Gallagher,0GUEuLJVeBVmYJxvkxIPwQ,1,1,1,1,1
1,Tracy Swanson,0V4Ra6jCmSAgFtCiORr4QA,1,1,1,1,1
2,William Porter,1O638BDK_fWuxgTVJwff-A,1,1,1,1,1
3,Michael Bird,2OE7uUsx5VDshFzPFK6XUQ,1,1,1,1,1
4,Scott Blevins,2esyx8s04Vrde3Pn8GMNsQ,0,1,0,0,0
5,Joshua Buchanan,2jCrH48LDG4c3ja4CLh0qg,1,1,1,1,1
6,Christopher Scott,3jjiY5D7oIlKeiCIZGHQew,1,1,1,1,1
7,Alisha Smith,4ix7NQyuXCmYT1sfblfbJw,1,1,1,1,1
8,Emily Crosby,58yXn5Y4409kc9q88YwU6w,1,1,1,1,1
9,Kenneth Mosley,5jCYgtlrYT9m7SWTrnix_g,1,1,1,1,1
10,Derek Davis,73DZUFYAXuycbJ_eEAox1Q,1,1,1,1,1
11,David Raymond,7C0IUTZ3uSbbYSji8sSNOw,1,1,1,1,1
12,Brad Adams,7Pw2eIAvZLlO0BzCFCI-Mg,1,1,1,1,1
13,Laurie Martin,87L_amkNITmdmLhuCgUZmA,1,1,1,1,1
14,James Ross,ACUVZ4SiN0gni7dzVDm9EQ,1,1,1,1,1
15,Maria Shepard,APoAugdz6nscL4HjF4Oryg,0,1,0,0,0
16,Donna Conner,BGzavA_ddMr-jGmhArv7fg,1,1,1,1,1
17,Jeffrey Moore,C3Hpsx_eDfeSmxEc1HBzpA,1,1,1,1,1
18,Lauren Watkins,CQUDh80m48xnzUkx-X5NAw,1,1,1,1,1
19,Monica Valdez,CXwHjHxwGDzRTgvU_NdLIQ,0,1,0,0,0
20,Casey King,CoS9VbTzh74Hh7FSlAKKVA,1,1,1,1,1
21,Thomas Maddox,D6tDh72nyGJdeBPJmX9fUQ,1,1,1,1,1
22,Kelsey Riley,DS0Idr2XDhz5e7ZfSy0dYA,1,0,0,0,0
23,Robert Mckee,EiT_pSuIb08oRn4CfwfMJg,1,1,0,0,0
24,Justin Cooley,EiwxlbR8fb68lMgEXhcWKA,1,1,1,1,1
25,Jared Callahan,FmnV0mpRSLm9iQ1uvbNoSw,1,1,1,1,1
26,Dennis Erickson,GFyA9ULGAeD-xZEPto2y7A,1,1,1,1,1
27,Michael Jacobs,Gppf1W0Bk9olxs1vplhmUg,1,0,0,0,0
28,Erin Walker,Gx9m-uVNSAua8KdVyiQfGA,1,1,1,1,1
29,Charles Baldwin,Hi10sGSZNxQH3NLyWSZ1oA,0,0,1,0,0
30,Matthew Hill,ITa3vh5ERI90G_WP4SmGUQ,1,1,1,1,1
