,userid,business_id,categories,stars,Alcohol,park,GoodForKids,HasTV,OutdoorSeating,RestaurantsDelivery,attributes_RestaurantsPriceRange2,RestaurantsTakeOut
1539,0GUEuLJVeBVmYJxvkxIPwQ,FyAioPDhzS5IP4a4SXeG-Q,Japanese,5.0,1,1,0,1,1,0,3,0
1967,0V4Ra6jCmSAgFtCiORr4QA,ttuEwktrkmh3TUlSFPZqAA,Vietnamese,4.0,0,0,1,0,0,0,1,1
2790,1O638BDK_fWuxgTVJwff-A,DE89UdHFMCN6DtYWZuer5A,Japanese,4.0,1,1,1,0,0,0,2,0
2591,1O638BDK_fWuxgTVJwff-A,crstB-H5rOfbXhV8pX0e6g,Japanese,5.0,1,1,1,0,0,0,2,1
992,2OE7uUsx5VDshFzPFK6XUQ,SxjNgkzAlUG-wt2rSbc2HQ,Chinese,2.0,1,1,1,0,0,0,2,1
2945,2esyx8s04Vrde3Pn8GMNsQ,RtUvSWO_UZ8V3Wpj0n077w,Japanese,2.0,1,1,0,0,1,0,2,1
1264,2esyx8s04Vrde3Pn8GMNsQ,UVKi839mvCc9BrCmeJbitA,Japanese,4.0,2,1,1,0,0,0,2,1
368,2esyx8s04Vrde3Pn8GMNsQ,zgQHtqX0gqMw1nlBZl2VnQ,Chinese,2.0,1,1,0,0,0,0,2,1
2572,2esyx8s04Vrde3Pn8GMNsQ,ALkOqlWODyxPg5VSp0HLrg,Japanese,5.0,1,1,0,0,1,0,3,1
2492,2jCrH48LDG4c3ja4CLh0qg,O1TvPrgkK2bUo5O5aSZ7lw,Chinese,4.0,1,1,1,0,0,0,2,1
2685,3jjiY5D7oIlKeiCIZGHQew,aLcFhMe6DDJ430zelCpd2A,Thai,4.0,1,1,0,1,0,0,2,1
1010,4ix7NQyuXCmYT1sfblfbJw,J_btDyZbIv0hZNjrw56zlA,Chinese,3.0,1,1,1,0,0,0,2,1
540,58yXn5Y4409kc9q88YwU6w,g1UVmCOhQDY7TGSZ2rRT_w,Chinese,4.0,1,1,1,0,0,0,2,1
437,5jCYgtlrYT9m7SWTrnix_g,saijdv-vXJrvsCfvr7SZOw,Japanese,4.0,0,1,1,1,0,0,2,1
1567,73DZUFYAXuycbJ_eEAox1Q,stC-tc9QArhPXSzNkvTpgA,Thai,5.0,0,0,1,1,0,0,1,1
273,7C0IUTZ3uSbbYSji8sSNOw,OXW2erFOPT-Oov6wChxWYA,Chinese,5.0,1,1,1,0,0,0,2,1
173,7Pw2eIAvZLlO0BzCFCI-Mg,6xowh_GdOsRrz9QWN6nMxA,Japanese,4.0,0,1,1,0,0,0,2,1
2278,87L_amkNITmdmLhuCgUZmA,57_msr8gjNakjGO-1f6B_g,Vietnamese,4.0,0,1,1,0,0,0,1,1
301,ACUVZ4SiN0gni7dzVDm9EQ,gtcsOodbmk4E0TulYHnlHA,Chinese,5.0,1,1,0,0,1,0,2,0
2945,APoAugdz6nscL4HjF4Oryg,RtUvSWO_UZ8V3Wpj0n077w,Japanese,4.0,1,1,0,0,1,0,2,1
1162,APoAugdz6nscL4HjF4Oryg,KrwGJBrSE3kN721yx-MzfQ,Japanese,3.0,1,1,0,0,0,0,2,1
2685,APoAugdz6nscL4HjF4Oryg,aLcFhMe6DDJ430zelCpd2A,Thai,4.0,1,1,0,1,0,0,2,1
2261,APoAugdz6nscL4HjF4Oryg,IFXL6wMLBgBSGSiLBjtViA,Chinese,3.0,1,1,1,1,0,0,2,0
462,APoAugdz6nscL4HjF4Oryg,zA6gnF5aPBGoOm6uIbKt-A,Japanese,5.0,1,1,0,0,0,0,3,1
2492,BGzavA_ddMr-jGmhArv7fg,O1TvPrgkK2bUo5O5aSZ7lw,Chinese,5.0,1,1,1,0,0,0,2,1
1080,BGzavA_ddMr-jGmhArv7fg,WbQOuI7mVST8XrJotWq9fA,Chinese,2.0,0,1,1,0,0,0,1,1
2898,BGzavA_ddMr-jGmhArv7fg,DEjm5implb5hHqQEmaLuXg,Vietnamese,3.0,1,1,1,2,0,0,1,1
1501,BGzavA_ddMr-jGmhArv7fg,XOkqRJBS6HwTVlrCACAZFw,Thai,4.0,1,1,0,1,1,0,2,1
2936,BGzavA_ddMr-jGmhArv7fg,96DHi-xkBB3CtsQRTPUjxQ,Japanese,3.0,1,1,1,0,0,0,2,1
971,BGzavA_ddMr-jGmhArv7fg,CN5nuUQod0f8g3oh99qq0w,Japanese,5.0,1,1,0,0,0,0,2,1
2283,BGzavA_ddMr-jGmhArv7fg,68PJJkcq_i0SlLqO6t7Qxw,Chinese,2.0,1,1,1,0,0,0,2,1
1661,BGzavA_ddMr-jGmhArv7fg,SLH_6FIjptg5BEJbYNld6w,Chinese,3.0,1,1,1,0,0,0,2,1
1342,BGzavA_ddMr-jGmhArv7fg,SZmm3wOx_fcC2rblUVewGA,Chinese,5.0,2,1,1,0,0,0,1,1
1060,BGzavA_ddMr-jGmhArv7fg,WmuoWetYC-4U2-V4taC6Wg,Chinese,4.0,1,1,1,1,0,0,2,1
1901,BGzavA_ddMr-jGmhArv7fg,rROHsa0BQsKjxNnfYjBF9g,Chinese,3.0,1,1,1,0,0,0,2,1
857,BGzavA_ddMr-jGmhArv7fg,N97-DBkCFBy69maCMkUG1A,Chinese,2.0,1,1,0,1,0,0,1,1
