business_id,name,city,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
QXAEGFB4oINsVuTFxEYKFQ,Emerald Chinese Restaurant,Mississauga,43.605498974300005,-79.65228890899999,2.5,128,1,"{'RestaurantsReservations': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters': 'True', 'NoiseLevel': ""u'loud'"", 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'False', 'BikeParking': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'HasTV': 'False', 'WiFi': ""u'no'"", 'GoodForKids': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsAttire': ""u'casual'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsDelivery': 'False'}","Specialty Food, Restaurants, Dim Sum, Imported Food, Food, Chinese, Ethnic Food, Seafood","{'Monday': '9:0-0:0', 'Tuesday': '9:0-0:0', 'Wednesday': '9:0-0:0', 'Thursday': '9:0-0:0', 'Friday': '9:0-1:0', 'Saturday': '9:0-1:0', 'Sunday': '9:0-0:0'}"
9UTpmQ4OhX5jNFUIu7dPPQ,Buk Chang Dong Soon Tofu,Mississauga,43.582262,-79.61885799999997,4.0,103,1,"{'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsDelivery': 'False', 'Caters': 'False', 'RestaurantsTableService': 'True', 'HasTV': 'False', 'RestaurantsTakeOut': 'True', 'Alcohol': ""'none'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsReservations': 'False', 'NoiseLevel': ""u'average'"", 'GoodForKids': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsAttire': ""u'casual'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'OutdoorSeating': 'False', 'RestaurantsGoodForGroups': 'True', 'WiFi': ""u'no'"", 'BikeParking': 'True'}","Restaurants, Korean","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-22:0'}"
1HRSElW1HgBiTtSNrhjMeA,Fine Asian Bowl,Toronto,43.7066913,-79.37580279999997,2.0,4,0,,"Restaurants, Vietnamese",
SJBzyJDCR_f6dx5tpYAABA,Kibo Sushi House,Toronto,43.60052260000001,-79.5055159,4.0,15,1,"{'RestaurantsDelivery': 'True', 'HasTV': 'True', 'WiFi': ""'no'"", 'BikeParking': 'False', 'Alcohol': ""'none'"", 'NoiseLevel': ""'average'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsReservations': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2'}","Sushi Bars, Japanese, Restaurants","{'Monday': '16:0-22:0', 'Tuesday': '11:30-22:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Friday': '11:30-22:0', 'Saturday': '11:30-22:0', 'Sunday': '16:0-22:0'}"
iyPtSR0s6EkvaQFbdJ_jVA,Pearl King,Toronto,43.6464782,-79.3900189,2.5,72,0,"{'Alcohol': ""'full_bar'"", 'RestaurantsTableService': 'True', 'BikeParking': 'True', 'WheelchairAccessible': 'True', 'Caters': 'True', 'NoiseLevel': ""'average'"", 'OutdoorSeating': 'True', 'WiFi': ""u'free'"", 'HasTV': 'True', 'RestaurantsAttire': ""'casual'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsDelivery': 'False', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'True'}","Dim Sum, Chinese, Tapas/Small Plates, Restaurants","{'Monday': '11:30-22:30', 'Tuesday': '11:30-22:30', 'Wednesday': '11:30-22:30', 'Thursday': '11:30-22:30', 'Friday': '11:30-22:30', 'Saturday': '11:30-22:30', 'Sunday': '11:30-22:30'}"
_72dMXdWbVAgwB-Bxwz-mw,Champions Cuisine,Markham,43.856381,-79.30440959999999,3.5,7,0,"{'RestaurantsAttire': ""'casual'"", 'RestaurantsPriceRange2': '1', 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True'}","Chinese, Restaurants",
QZ4GFIArBMGolsVi0XHgcA,Golden Flower Cafe,Richmond Hill,43.8611126,-79.394803,3.5,31,1,"{'RestaurantsTableService': 'True', 'BikeParking': 'True', 'RestaurantsDelivery': 'False', 'WiFi': ""u'no'"", 'NoiseLevel': ""u'loud'"", 'BusinessAcceptsCreditCards': 'False', 'DriveThru': 'False', 'Alcohol': ""u'none'"", 'OutdoorSeating': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': True}"", 'RestaurantsAttire': ""u'casual'"", 'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'HasTV': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'Caters': 'True'}","Chinese, Restaurants, Fast Food","{'Monday': '8:0-20:0', 'Tuesday': '8:0-20:0', 'Wednesday': '8:0-20:0', 'Thursday': '8:0-20:0', 'Friday': '8:0-20:0', 'Saturday': '8:0-20:0', 'Sunday': '8:0-20:0'}"
j9YFHVQqxM_qKHIc4nck-A,Wong's Asian Cuisine,Scarborough,43.7472771,-79.28384870000002,4.0,22,1,"{'RestaurantsDelivery': 'True', 'NoiseLevel': ""u'quiet'"", 'Alcohol': ""u'full_bar'"", 'RestaurantsReservations': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsTableService': 'True', 'RestaurantsAttire': ""u'casual'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids': 'True', 'WiFi': ""u'no'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsPriceRange2': '1', 'BikeParking': 'True', 'HasTV': 'False', 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'False', 'Caters': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}""}","Hakka, Indian, Asian Fusion, Restaurants, Chinese","{'Monday': '11:30-15:0', 'Tuesday': '11:30-22:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Friday': '11:30-23:0', 'Saturday': '11:30-23:0', 'Sunday': '12:0-21:0'}"
VxnZy3cU-ItbYiDK5XDX8g,Red Lotus,Richmond Hill,43.8914289676,-79.4404220581,2.0,4,0,"{'RestaurantsReservations': 'True', 'GoodForKids': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'RestaurantsAttire': ""'casual'""}","Chinese, Restaurants",
7MssGOl7IeOYCPn6uuSGxw,Bánh Cuon Thanh Trúc,Toronto,43.6695111,-79.4824124,3.5,26,1,"{'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'False', 'RestaurantsPriceRange2': '2', 'HasTV': 'True', 'BikeParking': 'False', 'RestaurantsAttire': ""u'casual'"", 'OutdoorSeating': 'False', 'NoiseLevel': ""u'quiet'"", 'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""u'no'"", 'RestaurantsGoodForGroups': 'True', 'Caters': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}""}","Restaurants, Vietnamese","{'Monday': '10:0-21:0', 'Tuesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '10:0-21:0'}"
